Processing Log - Started at 2026-01-11T01:59:10.682Z
Total documents to process: 25049
Batch size: 100
Delay between batches: 300ms


=== Batch 179/251 - Started at 2026-01-11T01:59:10.683Z ===
FAILED: paper_id: 70211628, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70211024, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70209567, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70206321, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70670997, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70669254, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70663091, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70660907, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70658497, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70637624, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70630777, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70601620, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70608922, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70604657, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70580741, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70566864, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70531819, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70548862, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70546635, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70166524, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70163753, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70161320, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70159943, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70149584, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70151293, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70150792, reason: Request failed with status code 404, status: 404
Batch 180 completed in 248.39s
Success: 0, Failed: 100, Skip: 0
Total so far - Success: 0, Failed: 200, Skip: 0
Waiting 300ms before next batch...

=== Batch 181/251 - Started at 2026-01-11T02:07:29.181Z ===
FAILED: paper_id: 70690367, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70704994, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70700042, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70699335, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70664313, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70653779, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70651575, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70649165, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70643838, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70639570, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70635388, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70633888, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70627393, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70267992, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70274238, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70269303, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70259007, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70264729, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70261672, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70227517, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70218532, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70216445, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70214473, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70207626, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70205190, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70204672, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70195120, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70190723, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70189226, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70187915, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70185728, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70182502, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70179445, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70178114, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70175409, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70172747, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70108210, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70107503, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70101449, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70101340, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70829239, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70106006, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70105551, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70105319, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70100032, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70918719, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70103968, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70103527, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70846076, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70791652, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70824842, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70815170, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70807367, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70782180, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70749866, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70739750, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70737317, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70726617, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70679733, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70713490, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70668306, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70666268, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70665856, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70664685, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70641980, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70636659, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70630041, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70267832, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70276837, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70275904, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70273826, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70272117, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70269014, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70259296, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70257132, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70262837, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70262084, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70255443, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70254321, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70253265, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70240049, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70236963, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70235506, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70232286, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70228728, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70227723, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70224357, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70213285, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70199989, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70206873, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70201732, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70201280, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70186796, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70185459, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70181738, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70180567, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70179342, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70177633, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70176614, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70173142, reason: Request failed with status code 404, status: 404
Batch 181 completed in 255.43s
Success: 0, Failed: 100, Skip: 0
Total so far - Success: 0, Failed: 300, Skip: 0
Waiting 300ms before next batch...

=== Batch 182/251 - Started at 2026-01-11T02:11:44.909Z ===
FAILED: paper_id: 70187208, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70177049, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70176073, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70147669, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70169438, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70105010, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70103865, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70103713, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70103673, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70103593, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70672720, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70822143, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70809777, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70779558, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70772843, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70743125, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70728621, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70728183, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70722707, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70722558, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70694781, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70694443, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70712096, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70667639, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70654595, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70638903, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70629597, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70628375, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70619713, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70275821, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70273883, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70269074, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70257670, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70257195, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70265061, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70254825, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70245021, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70241569, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70236239, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70226790, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70231805, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70231659, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70230909, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70229083, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70228499, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70228327, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70224314, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70224082, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70217278, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70217069, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70208499, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70200464, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70200172, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70207729, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70204855, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70204755, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70194682, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70194556, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70193139, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70186192, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70190042, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70187414, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70184437, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70183421, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70181128, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70179345, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70176116, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70175535, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70174599, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70112501, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70112432, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70109816, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70108608, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70108402, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70108253, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70107792, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70876750, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70106189, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70105236, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70939764, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70902366, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70891148, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70890942, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70104841, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70104028, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70103842, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70103467, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70103387, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70103155, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70102491, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70860036, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70843594, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70791546, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70815147, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70787015, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70779830, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70748140, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70744081, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70743042, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70693593, reason: Request failed with status code 404, status: 404
Batch 182 completed in 264.31s
Success: 0, Failed: 100, Skip: 0
Total so far - Success: 0, Failed: 400, Skip: 0
Waiting 300ms before next batch...

=== Batch 183/251 - Started at 2026-01-11T02:16:09.523Z ===
FAILED: paper_id: 70582135, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70574389, reason: Request failed with status code 404, status: 404
