company_id,paper_id,symbol,paper_type_he,identifier_status,identifier_reason,identifier_api,identifier_success,logo_exists,logo_status,logo_reason,logo_api,logo_success
5746645,532010,GSFI,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/5746645/logos,1
20384912,536011,BRND,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20384912/logos,1
20358958,539015,ROTS,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20358958/logos,1
6465740,543017,KNFM,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/6465740/logos,1
20387228,544015,MYDS,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20387228/logos,1
8840575,550012,STG,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/8840575/logos,1
883901,566018,MMHD,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/883901/logos,1
882784,576017,ILCO,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/882784/logos,1
20385337,573014,LEVI,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385337/logos,1
869300,587014,ARYT,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
33738792,589010,EMDV,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/33738792/logos,1
882238,593038,FIBI,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/882238/logos,1
3536667,578013,AFHL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/3536667/logos,1
20385303,584011,LBTL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385303/logos,1
2482281,585018,HARL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/2482281/logos,1
407787,612010,ILDC,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/407787/logos,1
879082,613034,ISRS,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/879082/logos,1
4492970,621011,KRUR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/4492970/logos,1
2903619,625012,ALBA,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/2903619/logos,1
398806,627034,DELG,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/398806/logos,1
308047,629014,TEVA,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/308047/logos,1
5723064,634030,SMNR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/5723064/logos,1
595807,639013,DISI,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/595807/logos,1
20353773,642017,LAPD,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20353773/logos,1
9476883,643015,NFTA,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/9476883/logos,1
6479571,644013,PLRM,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/6479571/logos,1
748577,654012,AMAN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/748577/logos,1
8442797,660019,NISA,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/8442797/logos,1
874109,662577,POLI,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/874109/logos,1
699650191,666016,LUZC,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/699650191/logos,1
1896697702,673012,RAYG-M,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
